"index","Research_Method","Continent","hypothesis","support_for_hypothesis","Number_of_species","type_of_experiment","has_research_problem","Study_date","study","publication","Habitat","Investigated_species","same_as","Measure_of_resistance/susceptibility","Measure_of_invasion_success","Measure_of_species_similarity","Measure_of_species_relationship","WOS_search_or_Cited_references","Specific_traits","Species_name","Phenotypic_plasticity_form","Measure_of_disturbance","Type_of_disturbance","Direct_anthropogenic_dist.?","Measure_of_propagule_pressure","Type_of_interaction","Type_of_effect_description","Ecological_Level_of_evidence","Outcome_of_interaction","Transition_in_the_invasion_process","Observed_proportion_of_species_making_the_transition","Measure_of_native_biodiversity","Sub-hypothesis","Which_species_are_compared?","Indicator_for_enemy_release","Release_of_which_kind_of_enemies?","Title","DOI","Abstract"
"Colonisation of sub-Antarctic Marion Island by a non-indigenous aphid parasitoid Aphidius matricariae (Hymenoptera, Braconidae)/Contribution 2","Observational or correlational","Africa","Propagule pressure","Questioned",1,"Field","Testing the propagule pressure hypothesis in invasion biology",2007,"Colonisation of sub-Antarctic Marion Island by a non-indigenous aphid parasitoid Aphidius matricariae (Hymenoptera, Braconidae)/Contribution 2","Colonisation of sub-Antarctic Marion Island by a non-indigenous aphid parasitoid Aphidius matricariae (Hymenoptera, Braconidae)","Terrestrial","Insects",NA,NA,"Recruitment, reproduction",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colonisation of sub-Antarctic Marion Island by a non-indigenous aphid parasitoid Aphidius matricariae (Hymenoptera, Braconidae)","10.1007/s00300-007-0277-z","Over the past two decades seven non-indigenous vascular plant or arthropod species have established reproducing populations at sub-Antarctic Marion Island (46 degrees 54'S, 37 degrees 55'E). Here we record the eighth establishment, a braconid wasp Aphidius matricariae Haliday, which uses the aphid Rhopalosiphum padi (Linnaeus) as its only host on the island. Molecular markers (18S rDNA and mtCOI) support the conventional taxonomic identification and indicate that all individuals are characterized by a single haplotype. Surveys around the island show that adult abundance and the frequency of aphid parasitism are highest at Macaroni Bay on the east coast, and decline away from this region to low or zero values elsewhere on the coast. The South African research and supply vessel, the SA Agulhas, regularly anchors at Macaroni Bay, and Aphidius sp. have been collected from its galley hold. Current abundance structure, low haplotype diversity, and the operating procedures of the SA Agulhas all suggest that the parasitoid was introduced to the island by humans. Regular surveys indicate that this introduction took place between April 2001 and April 2003, the latter being the first month when this species was detected. The wasp's establishment has significantly added to trophic complexity on the island. Low haplotype diversity suggests that propagule pressure is of little consequence for insect introductions. Rather, single or just a few individuals are probably sufficient for successful establishment."
"Colonization plasticity of the boring bivalve Lithophaga aristata (Dillwyn- 1817) on the Southeastern Brazilian coast: considerations on its invasiveness potential/Contribution 1","Observational or correlational","South America","Darwin's naturalisation","Questioned",1,"Field","Testing the Darwin's naturalisation hypothesis in invasion biology
",2012,"Colonization plasticity of the boring bivalve Lithophaga aristata (Dillwyn- 1817) on the Southeastern Brazilian coast: considerations on its invasiveness potential/Contribution 1","Colonization plasticity of the boring bivalve Lithophaga aristata (Dillwyn- 1817) on the Southeastern Brazilian coast: considerations on its invasiveness potential","Marine","Molluscs","['https://sws.geonames.org/6255150/', 'https://www.wikidata.org/entity/Q18']",NA,"Abundance/Biomass/Cover/Growth of exotic species",NA,"Number of species in the same genus","WOS search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colonization plasticity of the boring bivalve Lithophaga aristata (Dillwyn, 1817) on the Southeastern Brazilian coast: considerations on its invasiveness potential","10.3391/ai.2012.7.4.004","Lithophaga aristata is a boring bivalve native to the Caribbean Sea, first recorded in 2005 as an introduced species on the Southeastern Brazilian coast. The geographic distribution and density of L. aristata and of its native congeneric L. bisulcata were assessed in four areas of Brazil (24 sites), additionally considering their relationship with types of substrate, depth and wave exposure. This study records the first occurrence of L. aristata in the Sepetiba Bay and also reports the species at five new localities in the Arraial do Cabo Bay. Lithophaga aristata is established in the four surveyed regions. At intertidal habitats, the exotic species only colonizes the infralittoral fringe but its density was not related to wave action. At subtidal habitats, the species colonizes natural and artificial substrates, from shallow (0.5m) to deep (5.0-7.0m) zones but no relationship between density and these evaluated factors was detected. Broad geographical and ecological distributions and higher densities of this introduced species in relation to its native congeneric are suggested as contrary to Darwin's naturalization hypothesis and instead indicate a high invasiveness potential."
"Colonization Success in Roesel's Bush-Cricket Metrioptera roeseli: The Effects of Propagule Size/Contribution 1","Experimental","Europe","Propagule pressure","Supported",1,"Field","Testing the propagule pressure hypothesis in invasion biology",2001,"Colonization Success in Roesel's Bush-Cricket Metrioptera roeseli: The Effects of Propagule Size/Contribution 1","Colonization Success in Roesel's Bush-Cricket Metrioptera roeseli: The Effects of Propagule Size","Terrestrial","Insects",NA,NA,"Recruitment, reproduction",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colonization Success in Roesel's Bush-Cricket Metrioptera roeseli: The Effects of Propagule Size","10.1890/0012-9658(2001)082[0274:CSIRSB]2.0.CO;2","Assessing the colonizing ability of a species is important for predicting its future distribution or for planning the introduction or reintroduction of that species for conservation purposes. The best way to assess colonizing ability is by making experimental introductions of the species and monitoring the outcome. In this study, different-sized propagules of Roesel's bush-cricket, Metrioptera roeseli, were experimentally introduced into 70 habitat islands, previously uninhabited by the species, in farmland fields in southeastern Sweden. The areas of introduction were carefully monitored for 2-3 yr to determine whether the propagules had successfully colonized the patches. The study showed that large propagules resulted in larger local populations during the years following introduction. Probability of colonization for each propagule size was measured and showed that propagule size had a significant effect on colonization success, i.e., large propagules were more successful in colonizing new patches. If future introductions were to be made with this or a similar species, a propagule size of at least 32 individuals would be required to establish a viable population with a high degree of certainty."
"Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle/Contribution 1","Observational or correlational","North-America","Enemy release","Questioned",1,"Field","Testing the enemy release hypothesis in invasion biology",2012,"Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle/Contribution 1","Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle","Terrestrial","Plants","['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Aliens and natives","Damage","no differentiation","Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle","10.1007/s00442-011-2207-6","The biotic resistance hypothesis is a dominant paradigm for why some introduced species fail to become invasive in novel environments. However, predictions of this hypothesis require further empirical field tests. Here, we focus on evaluating two biotic factors known to severely limit plants, interspecific competition and insect herbivory, as mechanisms of biotic resistance. We experimentally evaluated the independent and combined effects of three levels of competition by tallgrass prairie vegetation and two levels of herbivory by native insects on seedling regeneration, size, and subsequent flowering of the Eurasian , a known invasive species elsewhere, and compared its responses to those of the ecologically similar and co-occurring native congener . Seedling emergence of was greater than that of and that emergence was reduced by the highest level of interspecific competition. Insect leaf herbivory was also greater on than on at all levels of competition. Herbivory on seedlings dramatically decreased the proportion of producing flower heads at all competition levels, but especially at the high competition level. Competition and herbivory interacted to significantly decrease plant survival and biomass, especially for . Thus, both competition and herbivory limited regeneration of both thistles, but their effects on seedling emergence, survival, size and subsequent reproduction were greater for than for These results help explain the unexpectedly low abundance recorded for in western tallgrass prairie, and also provide strong support for the biotic resistance hypothesis."
"Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle/Contribution 2","Experimental","North-America","Enemy release","Questioned",1,"Enclosure","Testing the enemy release hypothesis in invasion biology",2012,"Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle/Contribution 2","Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle","Terrestrial","Plants","['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P AN","Aliens and natives","Performance","no differentiation","Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle","10.1007/s00442-011-2207-6","The biotic resistance hypothesis is a dominant paradigm for why some introduced species fail to become invasive in novel environments. However, predictions of this hypothesis require further empirical field tests. Here, we focus on evaluating two biotic factors known to severely limit plants, interspecific competition and insect herbivory, as mechanisms of biotic resistance. We experimentally evaluated the independent and combined effects of three levels of competition by tallgrass prairie vegetation and two levels of herbivory by native insects on seedling regeneration, size, and subsequent flowering of the Eurasian , a known invasive species elsewhere, and compared its responses to those of the ecologically similar and co-occurring native congener . Seedling emergence of was greater than that of and that emergence was reduced by the highest level of interspecific competition. Insect leaf herbivory was also greater on than on at all levels of competition. Herbivory on seedlings dramatically decreased the proportion of producing flower heads at all competition levels, but especially at the high competition level. Competition and herbivory interacted to significantly decrease plant survival and biomass, especially for . Thus, both competition and herbivory limited regeneration of both thistles, but their effects on seedling emergence, survival, size and subsequent reproduction were greater for than for These results help explain the unexpectedly low abundance recorded for in western tallgrass prairie, and also provide strong support for the biotic resistance hypothesis."
"Combining data-driven methods and lab studies to analyse the ecology of Dikerogammarus villosus/Contribution 1","Observational","Europe","Invasional meltdown","Supported",2,"Field","Testing the invasional meltdown hypothesis in invasion biology",2010,"Combining data-driven methods and lab studies to analyse the ecology of Dikerogammarus villosus/Contribution 1","Combining data-driven methods and lab studies to analyse the ecology of Dikerogammarus villosus","Freshwater","Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A - B","one non native presents higher abundance in areas with other non native","Population","Abundance and or Density",NA,NA,NA,NA,NA,NA,NA,"Combining data-driven methods and lab studies to analyse the ecology of Dikerogammarus villosus","10.1016/j.ecoinf.2009.12.005","The spread of aquatic invasive species is a worldwide problem In the aquatic environment, especially exotic Crustacea are affecting biodiversity The amphipod Dikerogammarus villosus is such an exotic species in Flanders, which is rapidly spreading and probably has a serious impact on aquatic communities The purpose of the present study was to make use of lab results, field data and modelling techniques to investigate the potential impact of this species on other macroinvertebrates All types of prey that were used in predator-prey experiments (Common's pulex, Gaminarus tigrinus, Crangonyx pseudogracilis. Asellus aquaticus, Cloeon dipterum and Chironomus species) were consumed by D villosus, especially species that were less mobile such as the Chironomus species The presence of gravel somewhat reduced predation by providing shelter to the prey. Substrate preference experiments indicated that D villosus preferred a stony substrate Using decisions trees to construct habitat suitability models based on field observations, it could be concluded that D villosus is mainly found in habitats with an artificial bank structure, a high oxygen saturation and a low conductivity, which corresponds with canals with a good chemical water quality. Moreover, a synecological classification tree, based on the abundance of the taxa present in the macroinvertebrate communities, indicated that the presence of D villosus negatively affected the presence of the Indigenous G pulex When the laboratory experiments and the field observations are combined, it can be concluded that D villosus can seriously affect macroinvertebrate communities in Flanders (C) 2009 Elsevier B V All rights reserved"
"Common and rare plant species respond differently to fertilisation and competition, whether they are alien or native/Contribution 1","Experimental","Europe","Phenotypic plasticity","Questioned",1,"Field/Enclosure","Testing the phenotypic plasticity hypothesis in invasion biology",2012,"Common and rare plant species respond differently to fertilisation and competition, whether they are alien or native/Contribution 1","Common and rare plant species respond differently to fertilisation and competition, whether they are alien or native","Terrestrial","Plants",NA,NA,NA,NA,NA,NA,"Survival- Biomass","Eryngium giganteum- Bidens connata- Bidens bipinnata- Aster lanceolatus- Rudbeckia hirta- Lepidium neglectum- Eleusine indica- Persicaria orientalis- Veronica peregrina- Mimulus guttatus- Heracleum mantegazzianum- Bidens frondosa- Erigeron canadensis- Senecio inaequidens- Solidago canadensis- Lepidium virginicum- Panicum capillare- Veronica persica","Acclimation- Fecundity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common and rare plant species respond differently to fertilisation and competition, whether they are alien or native","10.1111/j.1461-0248.2012.01811.x","Plant traits associated with alien invasiveness may also distinguish rare from common native species. To test this, we grew 23 native (9 common, 14 rare) and 18 alien (8 common, 10 rare) herbaceous species in Switzerland from six plant families under nutrient-addition and competition treatments. Alien and common species achieved greater biomass than native and rare species did overall respectively. Across alien and native origins, common species increased total biomass more strongly in response to nutrient addition than rare species did and this difference was not confounded by habitat dissimilarities. There was a weak tendency for common species to survive competition better than rare species, which was also independent of origin. Overall, our study suggests that common alien and native plant species are not fundamentally different in their responses to nutrient addition and competition."
"Community assembly and invasion: An experimental test of neutral versus niche processes/Contribution 1","Experimental","North America","limiting similarity","Supported",13,"Field","Testing the limiting similarity hypothesis in invasion biology",2003,"Community assembly and invasion: An experimental test of neutral versus niche processes/Contribution 1","Community assembly and invasion: An experimental test of neutral versus niche processes",NA,NA,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,"Abundance/Biomass/Cover/Growth of exotic species","Functional groups",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Community assembly and invasion: An experimental test of neutral versus niche processes","10.1073/pnas.1033107100","A species-addition experiment showed that prairie grasslands have a structured, nonneutral assembly process in which resident species inhibit, via resource consumption, the establishment and growth of species with similar resource use patterns and in which the success of invaders decreases as diversity increases. In our experiment, species in each of four functional guilds were introduced, as seed, into 147 prairie-grassland plots that previously had been established and maintained to have different compositions and diversities. Established species most strongly inhibited introduced species from their own functional guild. introduced species attained lower abundances when functionally similar species were abundant and when established species left lower levels of resources unconsumed, which occurred at lower species richness. Residents of the C4 grass functional guild, the dominant guild in nearby native grasslands, reduced the major limiting resource, soil nitrate, to the lowest levels in midsummer and exhibited the greatest inhibitory effect on introduced species. This simple mechanism of greater competitive inhibition of invaders that are similar to established abundant species could, in theory, explain many of the patterns observed in plant communities."
"Community Structure Affects Annual Grass Weed Invasion During Restoration of a Shrub-Steppe Ecosystem/Contribution 1","Experimental","North-America","Biotic resistence","Questioned",NA,"Field","Testing the biotic resistence hypothesis in invasion biology",2014,"Community Structure Affects Annual Grass Weed Invasion During Restoration of a Shrub-Steppe Ecosystem/Contribution 1","Community Structure Affects Annual Grass Weed Invasion During Restoration of a Shrub-Steppe Ecosystem","Terrestrial",NA,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Biomass of exotic species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number of native species",NA,NA,NA,NA,"Community Structure Affects Annual Grass Weed Invasion During Restoration of a Shrub-Steppe Ecosystem","10.1614/IPSM-D-13-00021.1","Ecological restoration of shrub-steppe communities in the western United States is often hampered by invasion of exotic annual grasses during the process. An important question is how to create restored communities that can better resist reinvasion by these weeds. One hypothesis is that communities comprised of species that are functionally similar to the invader will best resist invasion, while an alternative hypothesis is that structurally more complex and diverse communities will result in more effective competitive exclusion. In this field experiment, we examined the effects of restored community structure on the invasion success of three annual grass weeds (downy brome, jointed goatgrass, and cereal rye). We created replicated community plots that varied in species composition, structural complexity and density, then seeded in annual grass weeds and measured their biomass and seed production the following year, and their cover after 1 and 3 yr. Annual grass weeds were not strongly suppressed by any of the restored communities, indicating that it was difficult for native species to completely capture available resources and exclude annual grass weeds in the first years after planting. Perennial grass monocultures, particularly of the early seral grass bottlebrush squirreltail, were the most highly invaded communities, while structurally complex and diverse mixtures of shrubs (big sagebrush, rubber rabbitbrush), perennial grasses (bluebunch wheatgrass and bottlebrush squirreltail) and forbs (Lewis flax, Utah sweetvetch, hairy golden aster, gooseberryleaf globemallow) were more resistant to invasion. These results suggest that restoration of sagebrush steppe communities resistant to annual grass invasion benefits from higher species diversity; significant reduction of weed propagule pressure prior to restoration may be required."
"Community structure of insect herbivores on introduced and native Solidago plants in Japan/Contribution 1","Observational or correlational","Asia","Enemy release","Questioned",1,"Field","Testing the enemy release hypothesis in invasion biology",2010,"Community structure of insect herbivores on introduced and native Solidago plants in Japan/Contribution 1","Community structure of insect herbivores on introduced and native Solidago plants in Japan","Terrestrial","Plants","['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANI","Aliens and natives","Infestation","no differentiation","Community structure of insect herbivores on introduced and native Solidago plants in Japan","10.1111/j.1570-7458.2010.01017.x","We compared community composition, density, and species richness of herbivorous insects on the introduced plant Solidago altissima L. (Asteraceae) and the related native species Solidago virgaurea L. in Japan. We found large differences in community composition on the two Solidago species. Five hemipteran sap feeders were found only on S. altissima. Two of them, the aphid Uroleucon nigrotuberculatum Olive (Hemiptera: Aphididae) and the scale insect Parasaissetia nigra Nietner (Hemiptera: Coccidae), were exotic species, accounting for 62% of the total individuals on S. altissima. These exotic sap feeders mostly determined the difference of community composition on the two plant species. In contrast, the herbivore community on S. virgaurea consisted predominately of five native insects: two lepidopteran leaf chewers and three dipteran leaf miners. Overall species richness did not differ between the plants because the increased species richness of sap feeders was offset by the decreased richness of leaf chewers and leaf miners on S. altissima. The overall density of herbivorous insects was higher on S. altissima than on S. virgaurea, because of the high density of the two exotic sap feeding species on S. altissima. We discuss the importance of analyzing community composition in terms of feeding guilds of insect herbivores for understanding how communities of insect herbivores are organized on introduced plants in novel habitats."
"Community structure, succession and invasibility in a seasonal deciduous forest in southern Brazil/Contribution 1","Observational or correlational",NA,"Biotic resistence","Undecided",125,"Field","Testing the biotic resistence hypothesis in invasion biology",2015,"Community structure, succession and invasibility in a seasonal deciduous forest in southern Brazil/Contribution 1","Community structure, succession and invasibility in a seasonal deciduous forest in southern Brazil","Terrestrial","Plants",NA,"Abundance of exotic species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number of native functional groups",NA,NA,NA,NA,"Community structure, succession and invasibility in a seasonal deciduous forest in southern Brazil","10.1007/s10530-014-0827-6","Majority of invasive trees colonize grasslands, shrublands, and temperate forests. Hovenia dulcis is an exception, because it is one of the most pervasive invaders in Brazilian subtropical forests where it has changed their structure and composition. This study has aimed to identify the clues for its success by defining the structural and functional characteristics of plant communities in different stages of succession with and without Hovenia dulcis. Following the general assumptions of invasion ecology, we expected that Hovenia dulcis establishment and invasion success would be significantly higher in early successional communities, with high resource availability and low species richness and diversity, as well as low functional diversity. Contrary to this hypothesis, no differences were found between plant communities invaded and non-invaded by Hovenia dulcis at three different succession stages. No relationship was found between species richness and diversity and functional diversity, with respect to invasibility along the successional gradient. Hovenia dulcis is strongly associated with semi-open vegetation, where the species was found in higher density. The invasion of open vegetation is more recent, providing evidence of the species's ability to invade plant communities in early successional stages. We concluded that the colonization by Hovenia dulcis was associated with forest openness, but the species is also able to colonize semi-open vegetation, and persist in the successionally more advanced communities."
"Community-wide effects on nonindigenous species on temperate rocky reefs/Contribution 1","Experimental & Observational","North America","Invasional meltdown","Supported",2,"Lab & Field","Testing the invasional meltdown hypothesis in invasion biology",2002,"Community-wide effects on nonindigenous species on temperate rocky reefs/Contribution 1","Community-wide effects on nonindigenous species on temperate rocky reefs","Marine","Algae;Bryozoan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A - B","one non native affects a native survival and benefits another non native","Individual/Population/Community","Impact on individual/ Composition/ Abundance, and or Density",NA,NA,NA,NA,NA,NA,NA,"Community-wide effects on nonindigenous species on temperate rocky reefs","10.1890/0012-9658(2002)083[3182:CWEONS]2.0.CO;2","Ecological interactions among invading species are common and may often be important in facilitating invasions. Indeed, the presence of one nonindigenous species can act as an agent of disturbance that facilitates the invasion of a second species. However, most studies of nonindigenous species are anecdotal and do not provide substantive evidence that interactions among nonindigenous species have any community-level effects. Here, using a combination of field experiments and observations we examine interactions among introduced species in New England kelp forests and ask whether these interactions have altered paradigms describing subtidal communities in the Gulf of Maine. The green alga Codium fragile was observed at the Isles of Shoals, Maine, USA, in 1983 and has since replaced the native kelp as the dominant seaweed on leeward shores. Experiments manipulating kelp and Codium reveal that Codium does not directly inhibit growth or survival of kelp. Codium does, however, successfully recruit to gaps in the kelp bed and, once established, inhibits recruitment of kelp. A second nonindigenous species, Membranipora membranacea, grows epiphytically on kelp, and experiments reveal that the presence of Membranipora reduces growth and survival of kelp, resulting in defoliation of kelp plants and gap formation in kelp beds. In the absence of Codium, kelp recolonizes these gaps, but when present, Codium colonizes and prevents kelp recolonization. Manipulations of herbivores demonstrate that herbivory will reinforce Codium dominance. Thus, the demise of New England kelp beds appears to result from one invasive species facilitating the spread of a second nonindigenous species."
"Comparative feeding ecology of invasive Ponto-Caspian gobies/Contribution 1","Observational","Europe","Invasional meltdown","Supported",6,"Field","Testing the invasional meltdown hypothesis in invasion biology",2013,"Comparative feeding ecology of invasive Ponto-Caspian gobies/Contribution 1","Comparative feeding ecology of invasive Ponto-Caspian gobies","Freshwater","Crustaceans;Fishes;Molluscs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multi species interaction","non native preys as the most important food items","Individual","Resource",NA,NA,NA,NA,NA,NA,NA,"Comparative feeding ecology of invasive Ponto-Caspian gobies","10.1007/s10750-012-1349-9","Invasions of Ponto-Caspian gobiid fishes are suspected to cause regime shifts in freshwater ecosystems. This study compared the trophic niche differentiations of Neogobius melanostomus and Ponticola kessleri in the upper Danube River using stable isotope analyses (delta C-13 and delta N-15), gut content analyses and morphometric analyses of the digestive tract. Both species were identified as predacious omnivores with high dietary overlap and a generalistic feeding strategy. Amphipods (especially invasive Dikerogammarus spp.) contributed 2/3 to the index of food importance. delta N-15-signatures of N. melanostomus revealed an ontogenetic diet shift and significantly exceeded those in P. kessleri by similar to 1.5aEuro degrees, indicating a niche separation of half a trophic level. P. kessleri had shorter uncoiled intestinal tracts than N. melanostomus, indicating a narrower niche and adaptation to animal food. Trophic niches in both species expanded during the growth period with increasing intraguild predation and cannibalism in P. kessleri and increasing molluscivory in N. melanostomus. P. kessleri showed a higher degree of specialization and more stable feeding patterns across seasons, whereas N. melanostomus adapted its diet according to the natural prey availability. The feeding patterns of both species observed in the upper Danube River strongly differ from those in their native ranges, underlining their great plasticity. Both goby species consumed mainly other non-native species (similar to 92% of gut contents) and seemed to benefit from previous invasions of prey species like Dikerogammarus villosus. The invasive success of gobies and their prey mirror fundamental ecological changes in large European freshwater ecosystems."
"Comparison of damage to native and exotic tallgrass prairie plants by natural enemies/Contribution 1","Observational or correlational","North-America","Enemy release","Supported",7,"Field","Testing the enemy release hypothesis in invasion biology",2008,"Comparison of damage to native and exotic tallgrass prairie plants by natural enemies/Contribution 1","Comparison of damage to native and exotic tallgrass prairie plants by natural enemies","Terrestrial","Plants","['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Aliens and natives","Damage","no differentiation","Comparison of damage to native and exotic tallgrass prairie plants by natural enemies","10.1007/s11258-008-9395-0","We surveyed the prevalence and amount of leaf damage related to herbivory and pathogens on 12 pairs of exotic (invasive and noninvasive) and ecologically similar native plant species in tallgrass prairie to examine whether patterns of damage match predictions from the enemy release hypothesis. We also assessed whether natural enemy impacts differed in response to key environmental factors in tallgrass prairie by surveying the prevalence of rust on the dominant C(4) grass, Andropogon gerardii, and its congeneric invasive exotic C(4) grass, A. bladhii, in response to fire and nitrogen fertilization treatments. Overall, we found that the native species sustain 56.4% more overall leaf damage and 83.6% more herbivore-related leaf damage when compared to the exotic species. Moreover, we found that the invasive exotic species sustained less damage from enemies relative to their corresponding native species than the noninvasive exotic species. Finally, we found that burning and nitrogen fertilization both significantly increased the prevalence of rust fungi in the native grass, while rust fungi rarely occurred on the exotic grass. These results indicate that reduced damage from enemies may in part explain the successful naturalization of exotic species and the spread of invasive exotic species in tallgrass prairie."
"Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 1","Observational or correlational","Oceania","Enemy release","Supported",1,"Field","Testing the enemy release hypothesis in invasion biology",2015,"Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 1","Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis","Terrestrial","Plants","['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Aliens and natives","Damage","no differentiation","Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis","10.1111/aec.12216","The enemy release hypothesis posits that non-native plant species may gain a competitive advantage over their native counterparts because they are liberated from co-evolved natural enemies from their native area. The phylogenetic relationship between a non-native plant and the native community may be important for understanding the success of some non-native plants, because host switching by insect herbivores is more likely to occur between closely related species. We tested the enemy release hypothesis by comparing leaf damage and herbivorous insect assemblages on the invasive species Senecio madagascariensisPoir. to that on nine congeneric species, of which five are native to the study area, and four are non-native but considered non-invasive. Non-native species had less leaf damage than natives overall, but we found no significant differences in the abundance, richness and Shannon diversity of herbivores between native and non-native SenecioL. species. The herbivore assemblage and percentage abundance of herbivore guilds differed among all Senecio species, but patterns were not related to whether the species was native or not. Species-level differences indicate that S.madagascariensis may have a greater proportion of generalist insect damage (represented by phytophagous leaf chewers) than the other Senecio species. Within a plant genus, escape from natural enemies may not be a sufficient explanation for why some non-native species become more invasive than others."
"Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 2","Observational or correlational","Oceania","Enemy release","Questioned",1,"Field","Testing the enemy release hypothesis in invasion biology",2015,"Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 2","Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis","Terrestrial","Plants","['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANI","Aliens and natives","Infestation","no differentiation","Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis","10.1111/aec.12216","The enemy release hypothesis posits that non-native plant species may gain a competitive advantage over their native counterparts because they are liberated from co-evolved natural enemies from their native area. The phylogenetic relationship between a non-native plant and the native community may be important for understanding the success of some non-native plants, because host switching by insect herbivores is more likely to occur between closely related species. We tested the enemy release hypothesis by comparing leaf damage and herbivorous insect assemblages on the invasive species Senecio madagascariensisPoir. to that on nine congeneric species, of which five are native to the study area, and four are non-native but considered non-invasive. Non-native species had less leaf damage than natives overall, but we found no significant differences in the abundance, richness and Shannon diversity of herbivores between native and non-native SenecioL. species. The herbivore assemblage and percentage abundance of herbivore guilds differed among all Senecio species, but patterns were not related to whether the species was native or not. Species-level differences indicate that S.madagascariensis may have a greater proportion of generalist insect damage (represented by phytophagous leaf chewers) than the other Senecio species. Within a plant genus, escape from natural enemies may not be a sufficient explanation for why some non-native species become more invasive than others."
